"","event","host_city","host_country","year","round","participant_name","song","participant_country","running_order","total_points","rank_ordinal","rank","qualified","winner","participant_link","event_link"
"16","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Eiru00edkur Hauksson","Valentine Lost","Iceland",5,77,"13th",13,FALSE,FALSE,"https://eurovision.tv/participant/eirikur-hauksson","https://eurovision.tv/event/helsinki-2007"
"17","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Evridiki","Comme Ci, Comme u00e7a","Cyprus",3,65,"15th",15,FALSE,FALSE,"https://eurovision.tv/participant/evridiki-2","https://eurovision.tv/event/helsinki-2007"
"18","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Teapacks","Push The Button","Israel",2,17,"24th",24,FALSE,FALSE,"https://eurovision.tv/participant/teapacks","https://eurovision.tv/event/helsinki-2007"
"19","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Bonaparti.lv","Questa Notte","Latvia",28,168,"5th",5,TRUE,TRUE,"https://eurovision.tv/participant/bonaparti-lv","https://eurovision.tv/event/helsinki-2007"
"20","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Kenan Dogulu","Shake It Up Shekerim","Turkey",26,197,"3rd",3,TRUE,TRUE,"https://eurovision.tv/participant/kenan-dogulu","https://eurovision.tv/event/helsinki-2007"
"21","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Alenka Gotar","Cvet Z Juga","Slovenia",25,140,"7th",7,TRUE,TRUE,"https://eurovision.tv/participant/alenka-gotar","https://eurovision.tv/event/helsinki-2007"
"22","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Magdi Ru00fazsa","Unsubstantial Blues","Hungary",22,224,"2nd",2,TRUE,TRUE,"https://eurovision.tv/participant/magdi-ruzsa","https://eurovision.tv/event/helsinki-2007"
"23","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Karolina","Mojot Svet","North Macedonia",18,97,"9th",9,TRUE,TRUE,"https://eurovision.tv/participant/karolina-1","https://eurovision.tv/event/helsinki-2007"
"24","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Marija u0160erifoviu0107","Molitva","Serbia",15,298,"1st",1,TRUE,TRUE,"https://eurovision.tv/participant/marija-serifovic","https://eurovision.tv/event/helsinki-2007"
"25","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Natalia Barbu","Fight","Moldova",9,91,"10th",10,TRUE,TRUE,"https://eurovision.tv/participant/natalia-barbu","https://eurovision.tv/event/helsinki-2007"
"26","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Sopho","Visionary Dream","Georgia",6,123,"8th",8,TRUE,TRUE,"https://eurovision.tv/participant/sopho","https://eurovision.tv/event/helsinki-2007"
"27","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Dmitry Koldun","Work Your Magic","Belarus",4,176,"4th",4,TRUE,TRUE,"https://eurovision.tv/participant/dmitry-koldun","https://eurovision.tv/event/helsinki-2007"
"28","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Elitsa Todorova u0026 Stoyan Yankulov","Water","Bulgaria",1,146,"6th",6,TRUE,TRUE,"https://eurovision.tv/participant/elitsa-todorova-stoyan-yankulov","https://eurovision.tv/event/helsinki-2007"
"29","Athens 2006","Athens","Greece","2006","Semi-Final","Withdrew from the competition, but still voted","","Serbia u0026 Montenegro",24,NA,"24th",24,FALSE,FALSE,"https://eurovision.tv/participant/withdrew-from-the-competition-but-still-voted","https://eurovision.tv/event/athens-2006"
"30","Athens 2006","Athens","Greece","2006","Semi-Final","Silvia Night","Congratulations","Iceland",23,62,"13th",13,FALSE,FALSE,"https://eurovision.tv/participant/silvia-night","https://eurovision.tv/event/athens-2006"
"31","Athens 2006","Athens","Greece","2006","Semi-Final","Mariana Popova","Let Me Cry","Bulgaria",2,36,"17th",17,FALSE,FALSE,"https://eurovision.tv/participant/mariana-popova","https://eurovision.tv/event/athens-2006"
"32","Athens 2006","Athens","Greece","2006","Semi-Final","Anu009eej Deu009ean","Mr. Nobody","Slovenia",3,49,"16th",16,FALSE,FALSE,"https://eurovision.tv/participant/an-ej-de-an","https://eurovision.tv/event/athens-2006"
"33","Athens 2006","Athens","Greece","2006","Semi-Final","Jennifer","Sense Tu","Andorra",4,8,"23rd",23,FALSE,FALSE,"https://eurovision.tv/participant/jennifer","https://eurovision.tv/event/athens-2006"
"34","Athens 2006","Athens","Greece","2006","Semi-Final","Polina Smolova","Mum","Belarus",5,10,"22nd",22,FALSE,FALSE,"https://eurovision.tv/participant/polina-smolova","https://eurovision.tv/event/athens-2006"
"35","Athens 2006","Athens","Greece","2006","Semi-Final","Luiz Ejlli","Zjarr E Ftohtu00eb","Albania",6,58,"14th",14,FALSE,FALSE,"https://eurovision.tv/participant/luiz-ejlli","https://eurovision.tv/event/athens-2006"
"36","Athens 2006","Athens","Greece","2006","Semi-Final","Kate Ryan","Je Tu0027adore","Belgium",7,69,"12th",12,FALSE,FALSE,"https://eurovision.tv/participant/kate-ryan","https://eurovision.tv/event/athens-2006"
"37","Athens 2006","Athens","Greece","2006","Semi-Final","Annet Artani","Why Angels Cry","Cyprus",9,57,"15th",15,FALSE,FALSE,"https://eurovision.tv/participant/annet-artani","https://eurovision.tv/event/athens-2006"
"38","Athens 2006","Athens","Greece","2006","Semi-Final","Su00e9verine Ferrer","La Coco-dance","Monaco",10,14,"21st",21,FALSE,FALSE,"https://eurovision.tv/participant/severine-ferrer","https://eurovision.tv/event/athens-2006"
"39","Athens 2006","Athens","Greece","2006","Semi-Final","Ich Troje","Follow My Heart","Poland",12,70,"11th",11,FALSE,FALSE,"https://eurovision.tv/participant/ich-troje-1","https://eurovision.tv/event/athens-2006"
"40","Athens 2006","Athens","Greece","2006","Semi-Final","Treble","Amambanda","Netherlands",17,22,"20th",20,FALSE,FALSE,"https://eurovision.tv/participant/treble","https://eurovision.tv/event/athens-2006"
"41","Athens 2006","Athens","Greece","2006","Semi-Final","Nonstop","Coisas De Nada","Portugal",19,26,"19th",19,FALSE,FALSE,"https://eurovision.tv/participant/nonstop","https://eurovision.tv/event/athens-2006"
"42","Athens 2006","Athens","Greece","2006","Semi-Final","Sandra","Through My Window","Estonia",21,28,"18th",18,FALSE,FALSE,"https://eurovision.tv/participant/sandra","https://eurovision.tv/event/athens-2006"
"43","Athens 2006","Athens","Greece","2006","Semi-Final","Andru00e9","Without Your Love","Armenia",1,150,"6th",6,TRUE,TRUE,"https://eurovision.tv/participant/andre","https://eurovision.tv/event/athens-2006"
"44","Athens 2006","Athens","Greece","2006","Semi-Final","Brian Kennedy","Every Song Is A Cry For Love","Ireland",8,79,"9th",9,TRUE,TRUE,"https://eurovision.tv/participant/brian-kennedy","https://eurovision.tv/event/athens-2006"
"45","Athens 2006","Athens","Greece","2006","Semi-Final","Elena Risteska","Ninanajna","North Macedonia",11,76,"10th",10,TRUE,TRUE,"https://eurovision.tv/participant/elena-risteska","https://eurovision.tv/event/athens-2006"
"46","Athens 2006","Athens","Greece","2006","Semi-Final","Dima Bilan","Never Let You Go","Russia",13,217,"3rd",3,TRUE,TRUE,"https://eurovision.tv/participant/dima-bilan","https://eurovision.tv/event/athens-2006"
"47","Athens 2006","Athens","Greece","2006","Semi-Final","Sibel Tu00fczu00fcn","Superstar","Turkey",14,91,"8th",8,TRUE,TRUE,"https://eurovision.tv/participant/sibel-tuezuen","https://eurovision.tv/event/athens-2006"
"48","Athens 2006","Athens","Greece","2006","Semi-Final","Tina Karol","Show Me Your Love","Ukraine",15,146,"7th",7,TRUE,TRUE,"https://eurovision.tv/participant/tina-karol","https://eurovision.tv/event/athens-2006"
"49","Athens 2006","Athens","Greece","2006","Semi-Final","Lordi","Hard Rock Hallelujah","Finland",16,292,"1st",1,TRUE,TRUE,"https://eurovision.tv/participant/lordi","https://eurovision.tv/event/athens-2006"
"50","Athens 2006","Athens","Greece","2006","Semi-Final","LT United","We Are The Winners","Lithuania",18,163,"5th",5,TRUE,TRUE,"https://eurovision.tv/participant/lt-united","https://eurovision.tv/event/athens-2006"
"51","Athens 2006","Athens","Greece","2006","Semi-Final","Carola","Invincible","Sweden",20,214,"4th",4,TRUE,TRUE,"https://eurovision.tv/participant/carola-1","https://eurovision.tv/event/athens-2006"
"52","Athens 2006","Athens","Greece","2006","Semi-Final","Hari Mata Hari","Lejla","Bosnia u0026 Herzegovina",22,267,"2nd",2,TRUE,TRUE,"https://eurovision.tv/participant/hari-mata-hari","https://eurovision.tv/event/athens-2006"
"53","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Global.Kryner","Y Asu00ed","Austria",1,30,"21st",21,FALSE,FALSE,"https://eurovision.tv/participant/global-kryner","https://eurovision.tv/event/kyiv-2005"
"54","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Ivan u0026 Delfin","Czarna Dziewczyna","Poland",25,81,"11th",11,FALSE,FALSE,"https://eurovision.tv/participant/ivan-delfin","https://eurovision.tv/event/kyiv-2005"
"55","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Omar Naber","Stop","Slovenia",23,69,"12th",12,FALSE,FALSE,"https://eurovision.tv/participant/omar-naber","https://eurovision.tv/event/kyiv-2005"
"56","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Donna and Joseph McCaul","Love?","Ireland",22,53,"14th",14,FALSE,FALSE,"https://eurovision.tv/participant/donna-and-joseph-mccaul","https://eurovision.tv/event/kyiv-2005"
"57","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Kaffe","Lorraine","Bulgaria",21,49,"19th",19,FALSE,FALSE,"https://eurovision.tv/participant/kaffe","https://eurovision.tv/event/kyiv-2005"
"58","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Marian van de Wal","La Mirada Interior","Andorra",18,27,"23rd",23,FALSE,FALSE,"https://eurovision.tv/participant/marian-van-de-wal","https://eurovision.tv/event/kyiv-2005"
"59","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Geir Ru00f6nning","Why","Finland",16,50,"18th",18,FALSE,FALSE,"https://eurovision.tv/participant/geir-roenning","https://eurovision.tv/event/kyiv-2005"
"60","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Suntribe","Letu0027s Get Loud","Estonia",12,31,"20th",20,FALSE,FALSE,"https://eurovision.tv/participant/suntribe","https://eurovision.tv/event/kyiv-2005"
"61","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Nuno Resende","Le Grand Soir","Belgium",11,29,"22nd",22,FALSE,FALSE,"https://eurovision.tv/participant/nuno-resende","https://eurovision.tv/event/kyiv-2005"
"62","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Selma","If I Had Your Love","Iceland",10,52,"16th",16,FALSE,FALSE,"https://eurovision.tv/participant/selma","https://eurovision.tv/event/kyiv-2005"
"63","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Glennis Grace","My Impossible Dream","Netherlands",9,53,"14th",14,FALSE,FALSE,"https://eurovision.tv/participant/glennis-grace","https://eurovision.tv/event/kyiv-2005"
"64","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Angelica Agurbash","Love Me Tonight","Belarus",8,67,"13th",13,FALSE,FALSE,"https://eurovision.tv/participant/angelica-agurbash","https://eurovision.tv/event/kyiv-2005"
"65","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Lise Darly","Tout De Moi","Monaco",6,22,"24th",24,FALSE,FALSE,"https://eurovision.tv/participant/lise-darly","https://eurovision.tv/event/kyiv-2005"
"66","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","2B","Amar","Portugal",3,51,"17th",17,FALSE,FALSE,"https://eurovision.tv/participant/2b","https://eurovision.tv/event/kyiv-2005"
"67","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Laura and the Lovers","Little By Little","Lithuania",2,17,"25th",25,FALSE,FALSE,"https://eurovision.tv/participant/laura-and-the-lovers","https://eurovision.tv/event/kyiv-2005"
"68","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Shiri Maymon","Hasheket Shenishu0027ar","Israel",7,158,"7th",7,TRUE,TRUE,"https://eurovision.tv/participant/shiri-maymon","https://eurovision.tv/event/kyiv-2005"
"69","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Walter u0026 Kazha","The War Is Not Over","Latvia",5,85,"10th",10,TRUE,TRUE,"https://eurovision.tv/participant/walter-kazha","https://eurovision.tv/event/kyiv-2005"
"70","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Zdob si Zdub","Boonika Bate Toba","Moldova",4,207,"2nd",2,TRUE,TRUE,"https://eurovision.tv/participant/zdob-si-zdub","https://eurovision.tv/event/kyiv-2005"
"71","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Jakob Sveistrup","Talking To You","Denmark",24,185,"3rd",3,TRUE,TRUE,"https://eurovision.tv/participant/jakob-sveistrup","https://eurovision.tv/event/kyiv-2005"
"72","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Boris Novkovic feat. Lado members","Vukovi Umiru Sami","Croatia",20,169,"4th",4,TRUE,TRUE,"https://eurovision.tv/participant/boris-novkovic-feat-lado-members","https://eurovision.tv/event/kyiv-2005"
"73","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Vanilla Ninja","Cool Vibes","Switzerland",19,114,"8th",8,TRUE,TRUE,"https://eurovision.tv/participant/vanilla-ninja","https://eurovision.tv/event/kyiv-2005"
"74","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Martin Vucic","Make My Day","North Macedonia",17,97,"9th",9,TRUE,TRUE,"https://eurovision.tv/participant/martin-vucic","https://eurovision.tv/event/kyiv-2005"
"75","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","NOX","Forogj Vilu00e1g","Hungary",15,167,"5th",5,TRUE,TRUE,"https://eurovision.tv/participant/nox","https://eurovision.tv/event/kyiv-2005"
"76","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Luminita Anghel u0026 Sistem","Let Me Try","Romania",14,235,"1st",1,TRUE,TRUE,"https://eurovision.tv/participant/luminita-anghel-sistem","https://eurovision.tv/event/kyiv-2005"
"77","Kyiv 2005","Kyiv","Ukraine","2005","Semi-Final","Wig Wam","In My Dreams","Norway",13,164,"6th",6,TRUE,TRUE,"https://eurovision.tv/participant/wig-wam","https://eurovision.tv/event/kyiv-2005"
"78","Turin 2022","Turin","Italy","2022","First Semi-Final","Kalush Orchestra","Stefania","Ukraine",6,337,"1st",1,TRUE,FALSE,"https://eurovision.tv/participant/kalush-orchestra-22","https://eurovision.tv/event/turin-2022"
"79","Turin 2022","Turin","Italy","2022","First Semi-Final","S10","De Diepte","Netherlands",8,221,"2nd",2,TRUE,FALSE,"https://eurovision.tv/participant/s10-22","https://eurovision.tv/event/turin-2022"
"80","Turin 2022","Turin","Italy","2022","First Semi-Final","Amanda Georgiadi Tenfjord","Die Together","Greece",15,211,"3rd",3,TRUE,FALSE,"https://eurovision.tv/participant/amanda-georgiadi-tenfjord-22","https://eurovision.tv/event/turin-2022"
"81","Turin 2022","Turin","Italy","2022","First Semi-Final","MARO","Saudade, Saudade","Portugal",10,208,"4th",4,TRUE,FALSE,"https://eurovision.tv/participant/maro-22","https://eurovision.tv/event/turin-2022"
"82","Turin 2022","Turin","Italy","2022","First Semi-Final","Intelligent Music Project","Intention","Bulgaria",7,29,"16th",16,FALSE,FALSE,"https://eurovision.tv/participant/intelligent-music-project-22","https://eurovision.tv/event/turin-2022"
"83","Turin 2022","Turin","Italy","2022","First Semi-Final","LPS","Disko","Slovenia",5,15,"17th",17,FALSE,FALSE,"https://eurovision.tv/participant/lps-22","https://eurovision.tv/event/turin-2022"
"84","Turin 2022","Turin","Italy","2022","First Semi-Final","Rosa Linn","Snap","Armenia",17,187,"5th",5,TRUE,FALSE,"https://eurovision.tv/participant/rosa-linn-22","https://eurovision.tv/event/turin-2022"
"85","Turin 2022","Turin","Italy","2022","First Semi-Final","Subwoolfer","Give That Wolf A Banana","Norway",16,177,"6th",6,TRUE,FALSE,"https://eurovision.tv/participant/subwoolfer-22","https://eurovision.tv/event/turin-2022"
"86","Turin 2022","Turin","Italy","2022","First Semi-Final","Monika Liu","Sentimentai","Lithuania",3,159,"7th",7,TRUE,FALSE,"https://eurovision.tv/participant/monika-liu-22","https://eurovision.tv/event/turin-2022"
"87","Turin 2022","Turin","Italy","2022","First Semi-Final","Zdob u015fi Zdub u0026 Advahov Brothers","Trenuleu021bul","Moldova",9,154,"8th",8,TRUE,FALSE,"https://eurovision.tv/participant/zdob-si-zdub-and-fratii-advahov-22","https://eurovision.tv/event/turin-2022"
"88","Turin 2022","Turin","Italy","2022","First Semi-Final","Marius Bear","Boys Do Cry","Switzerland",4,118,"9th",9,TRUE,FALSE,"https://eurovision.tv/participant/marius-bear-22","https://eurovision.tv/event/turin-2022"
"89","Turin 2022","Turin","Italy","2022","First Semi-Final","Systur","Meu00f0 Hu00e6kkandi Sou0301l","Iceland",14,103,"10th",10,TRUE,FALSE,"https://eurovision.tv/participant/systur-22","https://eurovision.tv/event/turin-2022"
"90","Turin 2022","Turin","Italy","2022","First Semi-Final","Mia Dimu0161iu0107","Guilty Pleasure","Croatia",11,75,"11th",11,FALSE,FALSE,"https://eurovision.tv/participant/mia-dimsic-22","https://eurovision.tv/event/turin-2022"
"91","Turin 2022","Turin","Italy","2022","First Semi-Final","Ronela Hajati","Sekret","Albania",1,58,"12th",12,FALSE,FALSE,"https://eurovision.tv/participant/ronela-hajati-22","https://eurovision.tv/event/turin-2022"
"92","Turin 2022","Turin","Italy","2022","First Semi-Final","REDDI","The Show","Denmark",12,55,"13th",13,FALSE,FALSE,"https://eurovision.tv/participant/reddi-22","https://eurovision.tv/event/turin-2022"
"93","Turin 2022","Turin","Italy","2022","First Semi-Final","Citi Zu0113ni","Eat Your Salad","Latvia",2,55,"14th",14,FALSE,FALSE,"https://eurovision.tv/participant/citi-zeni-22","https://eurovision.tv/event/turin-2022"
"94","Turin 2022","Turin","Italy","2022","First Semi-Final","LUM!X feat. Pia Maria","Halo","Austria",13,42,"15th",15,FALSE,FALSE,"https://eurovision.tv/participant/lumix-and-pia-maria-22","https://eurovision.tv/event/turin-2022"
"95","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Destiny","Je Me Casse","Malta",16,325,"1st",1,TRUE,FALSE,"https://eurovision.tv/participant/destiny-2021","https://eurovision.tv/event/rotterdam-2021"
"96","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Go_A","Shum","Ukraine",15,267,"2nd",2,TRUE,FALSE,"https://eurovision.tv/participant/go-a-2021","https://eurovision.tv/event/rotterdam-2021"
"97","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Manizha","Russian Woman","Russia",3,225,"3rd",3,TRUE,FALSE,"https://eurovision.tv/participant/manizha-2021","https://eurovision.tv/event/rotterdam-2021"
"98","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","The Roop","Discoteque","Lithuania",1,203,"4th",4,TRUE,FALSE,"https://eurovision.tv/participant/the-roop-2021","https://eurovision.tv/event/rotterdam-2021"
"99","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Eden Alene","Set Me Free","Israel",12,192,"5th",5,TRUE,FALSE,"https://eurovision.tv/participant/eden-alene-2021","https://eurovision.tv/event/rotterdam-2021"
"100","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Elena Tsagrinou","El Diablo","Cyprus",8,170,"6th",6,TRUE,FALSE,"https://eurovision.tv/participant/elena-tsagrinou-2021","https://eurovision.tv/event/rotterdam-2021"
"101","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Tusse","Voices","Sweden",4,142,"7th",7,TRUE,FALSE,"https://eurovision.tv/participant/tusse-2021","https://eurovision.tv/event/rotterdam-2021"
"102","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Efendi","Mata Hari","Azerbaijan",14,138,"8th",8,TRUE,FALSE,"https://eurovision.tv/participant/efendi-2021","https://eurovision.tv/event/rotterdam-2021"
"103","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Hooverphonic","The Wrong Place","Belgium",11,117,"9th",9,TRUE,FALSE,"https://eurovision.tv/participant/hooverphonic-2021","https://eurovision.tv/event/rotterdam-2021"
"104","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","TIX","Fallen Angel","Norway",9,115,"10th",10,TRUE,FALSE,"https://eurovision.tv/participant/tix-2021","https://eurovision.tv/event/rotterdam-2021"
"105","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Albina","Tick-Tock","Croatia",10,110,"11th",11,FALSE,FALSE,"https://eurovision.tv/participant/albina-2021","https://eurovision.tv/event/rotterdam-2021"
"106","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","ROXEN","Amnesia","Romania",13,85,"12th",12,FALSE,FALSE,"https://eurovision.tv/participant/roxen-2021","https://eurovision.tv/event/rotterdam-2021"
"107","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Ana Sokliu010d","Amen","Slovenia",2,44,"13th",13,FALSE,FALSE,"https://eurovision.tv/participant/ana-soklic-2021","https://eurovision.tv/event/rotterdam-2021"
"108","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Montaigne","Technicolour","Australia",5,28,"14th",14,FALSE,FALSE,"https://eurovision.tv/participant/montaigne-2021","https://eurovision.tv/event/rotterdam-2021"
"109","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Vasil","Here I Stand","North Macedonia",6,23,"15th",15,FALSE,FALSE,"https://eurovision.tv/participant/vasil-2021","https://eurovision.tv/event/rotterdam-2021"
"110","Rotterdam 2021","Rotterdam","Netherlands","2021","First Semi-Final","Lesley Roy","MAPS","Ireland",7,20,"16th",16,FALSE,FALSE,"https://eurovision.tv/participant/lesley-roy-2021","https://eurovision.tv/event/rotterdam-2021"
"111","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Ana Sokliu010d","Voda","Slovenia",5,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/ana-soklic","https://eurovision.tv/event/rotterdam-2020"
"112","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Ulrikke","Attention","Norway",14,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/ulrikke","https://eurovision.tv/event/rotterdam-2020"
"113","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Eden Alene","Feker Libi","Israel",15,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/eden-alene","https://eurovision.tv/event/rotterdam-2020"
"114","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Sandro","Running","Cyprus",13,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/sandro","https://eurovision.tv/event/rotterdam-2020"
"115","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Efendi","Cleopatra","Azerbaijan",12,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/efendi","https://eurovision.tv/event/rotterdam-2020"
"116","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Go_A","Solovey","Ukraine",17,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/go_a","https://eurovision.tv/event/rotterdam-2020"
"117","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Hooverphonic","Release Me","Belgium",9,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/hooverphonic-1","https://eurovision.tv/event/rotterdam-2020"
"118","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Little Big","Uno","Russia",8,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/little-big","https://eurovision.tv/event/rotterdam-2020"
"119","Rotterdam 2020","Rotterdam","Netherlands","2020","First Semi-Final","Vasil","YOU","North Macedonia",4,NA,NA,NA,FALSE,FALSE,"https://eurovision.tv/participant/vasil","https://eurovision.tv/event/rotterdam-2020"
